YEAR,SAMPLE,SERIAL,HHWT,CLUSTER,REGION,STATEFIP,STRATA,GQ,PERNUM,PERWT,FAMUNIT,MOMLOC,POPLOC,RELATE,RELATED,SEX,AGE,MARST,RACE,RACED,BPL,BPLD,MBPL,MBPLD,FBPL,FBPLD,SCHOOL,SCHLMNTH,LIT,OCC,OCCSCORE,StateName,BirthplaceName,OccupationTitle
1900,190002,14106901,100.0,1900141069011,31,51,173315152001,1,4,100.0,1,0,0,8,801,1,18,6,2,200,47,4700,47,4700,47,4700,1,99.0,4,39,20,Virginia,Tennessee,Porters and janitors
1900,190002,4856301,101.0,1900048563011,33,22,58512211101,1,8,101.0,1,2,1,3,301,1,1,6,2,200,22,2200,22,2200,22,2200,1,99.0,0,999,0,Louisiana,Louisiana,Not in labor force / missing
1900,190002,1538801,100.0,1900015388011,31,13,18511305100,1,5,100.0,1,1,0,3,301,2,6,6,2,200,13,1300,13,1300,13,1300,1,99.0,0,999,0,Illinois,Illinois,Not in labor force / missing
1900,190002,9958901,100.0,1900099589011,22,38,122823803902,1,9,100.0,1,2,1,3,301,2,0,6,2,200,38,3800,404,40400,55,5500,1,99.0,0,999,0,,,Not in labor force / missing
1900,190002,14892501,100.0,1900148925011,33,40,184314090101,1,2,100.0,1,0,0,2,201,2,58,1,2,200,21,2100,37,3700,51,5100,1,99.0,4,999,0,Oklahoma,Massachusetts,Not in labor force / missing
1900,190002,8207901,100.0,1900082079011,12,34,99623403901,1,2,100.0,1,0,0,2,201,2,25,1,2,200,51,5100,51,5100,51,5100,1,99.0,4,29,16,New Jersey,Virginia,Other laborers
1900,190002,4665601,100.0,1900046656011,33,22,56322203302,1,11,100.0,1,2,1,3,301,1,1,6,2,200,22,2200,22,2200,22,2200,1,99.0,0,999,0,Louisiana,Louisiana,Not in labor force / missing
1900,190002,6620801,101.0,1900066208011,32,28,80112800902,1,6,101.0,1,2,1,3,301,2,7,6,2,200,28,2800,28,2800,28,2800,1,99.0,0,999,0,Mississippi,Mississippi,Not in labor force / missing
1900,190002,13562401,101.0,1900135624011,33,48,166524838700,1,5,101.0,1,2,1,3,301,2,9,6,2,200,48,4800,48,4800,48,4800,1,99.0,0,999,0,Texas,Texas,Not in labor force / missing
1900,190002,6773401,100.0,1900067734011,32,28,81912808903,1,6,100.0,1,2,1,3,301,2,16,6,2,200,28,2800,28,2800,13,1300,2,1.0,4,1,9,Mississippi,Mississippi,Farm laborers
1900,190002,1511201,101.0,1900015112011,31,13,18121302902,1,2,101.0,1,0,0,2,201,2,40,1,2,200,13,1300,13,1300,13,1300,1,99.0,1,999,0,Illinois,Illinois,Not in labor force / missing
1900,190002,1873601,100.0,1900018736011,31,13,22421327502,1,1,100.0,1,0,0,1,101,1,35,1,2,200,13,1300,13,1300,13,1300,1,99.0,4,5,14,Illinois,Illinois,Laborers (not farm)
1900,190002,12471501,100.0,1900124715011,31,45,152424502902,1,2,100.0,1,0,0,2,201,2,31,1,2,200,45,4500,45,4500,45,4500,1,99.0,1,999,0,South Carolina,South Carolina,Not in labor force / missing
1900,190002,1510901,101.0,1900015109011,31,13,18121302902,1,4,101.0,1,2,1,3,301,1,15,6,2,200,13,1300,13,1300,13,1300,2,3.0,4,1,9,Illinois,Illinois,Farm laborers
1900,190002,11375601,100.0,1900113756011,12,42,139414202901,1,1,100.0,1,0,0,1,101,1,30,1,2,200,42,4200,42,4200,42,4200,1,99.0,4,32,11,Pennsylvania,Pennsylvania,
1900,190002,13315801,100.0,1900133158011,33,48,163614815702,1,2,100.0,1,0,0,2,201,2,40,1,2,200,1,100,1,100,1,100,1,99.0,1,999,0,Texas,Alabama,Not in labor force / missing
1900,190002,139401,100.0,1900001394011,32,1,1720106301,1,5,100.0,1,1,0,3,301,2,14,6,2,200,1,100,1,100,1,100,1,99.0,1,1,9,Alabama,Alabama,Farm laborers
1900,190002,12567101,100.0,1900125671011,31,45,153624507103,1,2,100.0,1,0,0,2,201,2,31,1,2,200,45,4500,45,4500,45,4500,1,99.0,4,999,0,South Carolina,South Carolina,Not in labor force / missing
1900,190002,314201,100.0,1900003142011,32,1,3820111500,1,5,100.0,1,2,1,3,301,1,2,6,2,200,1,100,1,100,1,100,1,99.0,0,999,0,Alabama,Alabama,Not in labor force / missing
